dataset,method,threshold,samples,base_tokens,mean_tokens,token_ratio,std_tokens,p50_tokens,p90_tokens,min_tokens,max_tokens
cifar100,selection,0.0,1000,196,176.0,0.8979591836734694,0.0,176.0,176.0,176,176
cifar100,merge,0.0,1000,196,196.0,1.0,0.0,196.0,196.0,196,196
cifar100,selection,0.25,1000,196,172.493,0.8800663265306122,12.615781822780544,176.0,176.0,74,176
cifar100,merge,0.25,1000,196,193.105,0.9852295918367346,9.418172593449325,196.0,196.0,115,196
cifar100,selection,0.5,1000,196,171.726,0.8761530612244898,13.962482730517522,176.0,176.0,69,176
cifar100,merge,0.5,1000,196,192.478,0.982030612244898,10.348792973095945,196.0,196.0,109,196
cifar100,selection,0.75,1000,196,170.567,0.8702397959183674,15.45799181653296,176.0,176.0,66,176
cifar100,merge,0.75,1000,196,191.407,0.9765663265306123,11.788526243767707,196.0,196.0,103,196
cifar100,selection,1.0,1000,196,165.879,0.8463214285714286,21.229280699072213,176.0,176.0,35,176
cifar100,merge,1.0,1000,196,189.388,0.966265306122449,14.698893019544023,196.0,196.0,91,196
cifar100,selection,1.25,1000,196,162.615,0.8296683673469388,23.708453661088907,176.0,176.0,32,176
cifar100,merge,1.25,1000,196,187.675,0.9575255102040817,16.228967157524227,196.0,196.0,76,196
cifar100,selection,1.5,1000,196,157.78,0.805,26.710028079356267,173.0,176.0,32,176
cifar100,merge,1.5,1000,196,185.317,0.9454948979591837,17.90481809458002,193.0,196.0,76,196
cifar100,selection,1.75,1000,196,151.419,0.772545918367347,29.69776824948299,163.0,176.0,32,176
cifar100,merge,1.75,1000,196,182.371,0.9304642857142857,19.795942993451966,190.0,196.0,73,196
cifar100,selection,2.0,1000,196,143.658,0.7329489795918367,32.34682420269415,153.0,176.0,32,176
cifar100,merge,2.0,1000,196,178.744,0.9119591836734694,21.60176992748511,187.0,196.0,67,196
cifar100,selection,2.25,1000,196,134.336,0.6853877551020409,34.21960116658287,140.0,176.0,32,176
cifar100,merge,2.25,1000,196,174.316,0.8893673469387755,23.39846456500939,184.0,196.0,67,196
cifar100,selection,2.5,1000,196,122.977,0.6274336734693877,35.098040842759296,127.0,167.0,32,176
cifar100,merge,2.5,1000,196,168.838,0.8614183673469388,25.615342199549083,175.0,196.0,67,196
cifar100,selection,2.75,1000,196,110.34,0.5629591836734694,34.95331743912157,114.0,154.10000000000002,32,176
cifar100,merge,2.75,1000,196,162.526,0.8292142857142858,27.283682376101655,169.0,193.0,55,196
cifar100,selection,3.0,1000,196,96.672,0.4932244897959184,33.73452854272607,98.0,141.0,32,176
cifar100,merge,3.0,1000,196,154.861,0.7901071428571428,28.79791101798879,160.0,187.0,49,196
cifar100,selection,3.25,1000,196,81.952,0.41812244897959183,31.06930472347265,82.0,124.0,32,174
cifar100,merge,3.25,1000,196,145.66,0.7431632653061224,29.6228695436482,151.0,181.0,49,196
cifar100,selection,3.5,1000,196,67.562,0.34470408163265304,27.242139343304153,65.0,105.0,32,168
cifar100,merge,3.5,1000,196,135.178,0.6896836734693877,30.277257405518093,139.0,172.0,49,196
cifar100,selection,3.75,1000,196,54.418,0.27764285714285714,22.02496937568813,50.0,86.0,32,144
cifar100,merge,3.75,1000,196,122.839,0.6267295918367347,30.08017750944964,124.0,160.0,49,193
cifar100,selection,4.0,1000,196,43.63,0.22260204081632654,15.614323552430955,36.0,67.0,32,116
cifar100,merge,4.0,1000,196,109.036,0.5563061224489796,28.624756837395143,109.0,148.0,49,190
cifar100,selection,4.25,1000,196,36.402,0.18572448979591838,9.023657573290334,32.0,50.0,32,84
cifar100,merge,4.25,1000,196,94.858,0.48396938775510207,26.009187530563118,94.0,130.0,49,175
cifar100,selection,4.5,1000,196,33.021,0.16847448979591836,3.7948068462044287,32.0,34.0,32,66
cifar100,merge,4.5,1000,196,80.857,0.4125357142857143,21.972586352088822,79.0,112.0,49,163
cifar100,selection,4.75,1000,196,32.124,0.16389795918367348,1.1741482018893528,32.0,32.0,32,58
cifar100,merge,4.75,1000,196,68.512,0.34955102040816327,16.756009548815612,64.0,91.0,49,145
cifar100,selection,5.0,1000,196,32.014,0.16333673469387758,0.442497457619815,32.0,32.0,32,46
cifar100,merge,5.0,1000,196,58.867,0.3003418367346939,11.142679704631197,55.0,76.0,49,115
cifar100,selection,5.25,1000,196,32.0,0.16326530612244897,0.0,32.0,32.0,32,32
cifar100,merge,5.25,1000,196,52.741,0.26908673469387756,6.049290784877182,49.0,61.0,49,88
cifar100,selection,5.5,1000,196,32.0,0.16326530612244897,0.0,32.0,32.0,32,32
cifar100,merge,5.5,1000,196,49.777,0.2539642857142857,2.2727232563600874,49.0,52.0,49,73
cifar100,selection,5.75,1000,196,32.0,0.16326530612244897,0.0,32.0,32.0,32,32
cifar100,merge,5.75,1000,196,49.036,0.25018367346938775,0.3531345352694919,49.0,49.0,49,55
cifar100,selection,6.0,1000,196,32.0,0.16326530612244897,0.0,32.0,32.0,32,32
cifar100,merge,6.0,1000,196,49.0,0.25,0.0,49.0,49.0,49,49
