dataset,method,threshold,samples,base_tokens,mean_tokens,token_ratio,std_tokens,p50_tokens,p90_tokens,min_tokens,max_tokens
dtd,selection,0.0,188,196,176.0,0.8979591836734694,0.0,176.0,176.0,176,176
dtd,merge,0.0,188,196,196.0,1.0,0.0,196.0,196.0,196,196
dtd,selection,0.25,188,196,175.59574468085106,0.8958966565349543,4.563544602506636,176.0,176.0,115,176
dtd,merge,0.25,188,196,195.88829787234042,0.9994300911854103,0.9964144637712233,196.0,196.0,184,196
dtd,selection,0.5,188,196,175.4255319148936,0.8950282240555797,6.022986750601201,176.0,176.0,97,176
dtd,merge,0.5,188,196,195.87234042553192,0.9993486756404689,1.1083248098416174,196.0,196.0,184,196
dtd,selection,0.75,188,196,175.29255319148936,0.8943497611810681,6.495870035935633,176.0,176.0,96,176
dtd,merge,0.75,188,196,195.79255319148936,0.9989415979157621,1.8834519780322632,196.0,196.0,172,196
dtd,selection,1.0,188,196,175.03191489361703,0.8930199739470257,7.156981605040254,176.0,176.0,96,176
dtd,merge,1.0,188,196,195.56914893617022,0.9978017802865827,3.615937728815179,196.0,196.0,148,196
dtd,selection,1.25,188,196,173.94148936170214,0.8874565783760313,10.994765771836452,176.0,176.0,60,176
dtd,merge,1.25,188,196,194.91489361702128,0.9944637429439861,7.047195872794635,196.0,196.0,112,196
dtd,selection,1.5,188,196,172.2872340425532,0.8790165002171081,15.303748908269233,176.0,176.0,32,176
dtd,merge,1.5,188,196,194.1968085106383,0.990800043421624,11.760400124612744,196.0,196.0,49,196
dtd,selection,1.75,188,196,170.4255319148936,0.869518019973947,19.613819141432177,176.0,176.0,32,176
dtd,merge,1.75,188,196,193.41489361702128,0.9868106817194963,12.855919718059589,196.0,196.0,49,196
dtd,selection,2.0,188,196,168.26063829787233,0.8584726443768996,24.28928368067357,176.0,176.0,32,176
dtd,merge,2.0,188,196,191.70744680851064,0.9780992184107685,18.60692355333119,196.0,196.0,49,196
dtd,selection,2.25,188,196,165.0531914893617,0.8421081198436822,29.51374256939796,176.0,176.0,32,176
dtd,merge,2.25,188,196,190.35106382978722,0.9711788970907511,20.882756526494816,196.0,196.0,49,196
dtd,selection,2.5,188,196,160.64893617021278,0.8196374294398611,35.67888923672006,176.0,176.0,32,176
dtd,merge,2.5,188,196,187.39893617021278,0.9561170212765958,25.179470676507815,196.0,196.0,49,196
dtd,selection,2.75,188,196,155.9787234042553,0.7958098132870168,40.34676256447515,176.0,176.0,32,176
dtd,merge,2.75,188,196,183.01063829787233,0.9337277464177159,33.311551469343236,196.0,196.0,49,196
dtd,selection,3.0,188,196,149.2712765957447,0.7615881458966566,45.04767952164902,176.0,176.0,32,176
dtd,merge,3.0,188,196,178.41489361702128,0.9102800694745984,38.2216129051848,196.0,196.0,49,196
dtd,selection,3.25,188,196,140.4627659574468,0.7166467650890143,49.45795223377117,170.0,176.0,32,176
dtd,merge,3.25,188,196,172.75,0.8813775510204082,43.04100284068571,194.5,196.0,49,196
dtd,selection,3.5,188,196,129.87234042553192,0.662613981762918,53.36680258294161,155.5,176.0,32,176
dtd,merge,3.5,188,196,165.77659574468086,0.8457989578810248,47.04856120876919,190.0,196.0,49,196
dtd,selection,3.75,188,196,116.1063829787234,0.5923795049934868,56.59297905576733,127.0,176.0,32,176
dtd,merge,3.75,188,196,156.28191489361703,0.7973567086409032,50.155824130458896,181.0,196.0,49,196
dtd,selection,4.0,188,196,100.59574468085107,0.5132435953104646,56.83436538112515,100.0,176.0,32,176
dtd,merge,4.0,188,196,143.7872340425532,0.733608336951802,53.59925617545682,166.0,196.0,49,196
dtd,selection,4.25,188,196,84.09574468085107,0.4290599218410769,55.31276047399878,67.0,176.0,32,176
dtd,merge,4.25,188,196,127.95744680851064,0.6528441163699522,56.65581318760943,139.0,196.0,49,196
dtd,selection,4.5,188,196,66.8563829787234,0.3411039947894051,49.32335353499834,34.0,162.10000000000008,32,176
dtd,merge,4.5,188,196,111.8563829787234,0.570695831524099,54.676861297858366,106.0,193.0,49,196
dtd,selection,4.75,188,196,53.851063829787236,0.2747503256621798,42.843470032201886,32.0,129.0,32,176
dtd,merge,4.75,188,196,94.2872340425532,0.48105731654363876,50.97290109009854,73.0,187.0,49,196
dtd,selection,5.0,188,196,43.962765957446805,0.22429982631350412,29.535296172699095,32.0,86.30000000000001,32,176
dtd,merge,5.0,188,196,78.8563829787234,0.4023284845853235,44.70465266497303,52.0,160.0,49,196
dtd,selection,5.25,188,196,35.691489361702125,0.18209943551888838,15.124678013625424,32.0,32.0,32,143
dtd,merge,5.25,188,196,65.30851063829788,0.3332066869300912,33.14636355515847,49.0,118.0,49,196
dtd,selection,5.5,188,196,32.191489361702125,0.16424229266174553,2.211077506386542,32.0,32.0,32,62
dtd,merge,5.5,188,196,54.42553191489362,0.27768128528006947,17.21020810492827,49.0,61.0,49,169
dtd,selection,5.75,188,196,32.0,0.16326530612244897,0.0,32.0,32.0,32,32
dtd,merge,5.75,188,196,49.68617021276596,0.2535008684324794,4.447377928522908,49.0,49.0,49,103
dtd,selection,6.0,188,196,32.0,0.16326530612244897,0.0,32.0,32.0,32,32
dtd,merge,6.0,188,196,49.0,0.25,0.0,49.0,49.0,49,49
