dataset,method,threshold,samples,base_tokens,mean_tokens,token_ratio,std_tokens,p50_tokens,p90_tokens,min_tokens,max_tokens
food101,selection,0.0,500,196,176.0,0.8979591836734694,0.0,176.0,176.0,176,176
food101,merge,0.0,500,196,196.0,1.0,0.0,196.0,196.0,196,196
food101,selection,0.25,500,196,175.948,0.8976938775510205,0.5415680935948868,176.0,176.0,169,176
food101,merge,0.25,500,196,195.802,0.9989897959183673,1.486874574400948,196.0,196.0,175,196
food101,selection,0.5,500,196,175.904,0.897469387755102,0.8430800673720141,176.0,176.0,168,176
food101,merge,0.5,500,196,195.7,0.998469387755102,1.7748239349298849,196.0,196.0,175,196
food101,selection,0.75,500,196,175.806,0.8969693877551022,1.5900830167007005,176.0,176.0,156,176
food101,merge,0.75,500,196,195.544,0.9976734693877551,2.0366796508042206,196.0,196.0,175,196
food101,selection,1.0,500,196,175.368,0.894734693877551,4.155066305126791,176.0,176.0,130,176
food101,merge,1.0,500,196,195.208,0.9959591836734694,2.837029432346447,196.0,196.0,169,196
food101,selection,1.25,500,196,174.382,0.8897040816326531,6.860326231309995,176.0,176.0,109,176
food101,merge,1.25,500,196,194.458,0.9921326530612244,4.559411804169481,196.0,196.0,151,196
food101,selection,1.5,500,196,172.868,0.8819795918367347,9.74815756951025,176.0,176.0,95,176
food101,merge,1.5,500,196,193.606,0.9877857142857143,5.836674052917466,196.0,196.0,139,196
food101,selection,1.75,500,196,170.624,0.8705306122448979,13.499282351295568,176.0,176.0,84,176
food101,merge,1.75,500,196,192.346,0.9813571428571429,7.39150079483186,196.0,196.0,139,196
food101,selection,2.0,500,196,167.73,0.8557653061224489,17.299395943211426,176.0,176.0,67,176
food101,merge,2.0,500,196,190.804,0.9734897959183674,9.293308560464352,196.0,196.0,133,196
food101,selection,2.25,500,196,164.074,0.8371122448979592,21.072269075730787,176.0,176.0,50,176
food101,merge,2.25,500,196,188.74,0.9629591836734694,11.38246019101319,193.0,196.0,121,196
food101,selection,2.5,500,196,159.23,0.8123979591836734,24.597420596477185,171.0,176.0,40,176
food101,merge,2.5,500,196,185.848,0.9482040816326531,14.412664430978749,190.0,196.0,106,196
food101,selection,2.75,500,196,152.708,0.7791224489795918,28.276186730179866,161.5,176.0,32,176
food101,merge,2.75,500,196,182.536,0.9313061224489796,17.035630425669606,190.0,196.0,85,196
food101,selection,3.0,500,196,144.534,0.7374183673469388,31.248757479298277,151.0,176.0,32,176
food101,merge,3.0,500,196,178.444,0.9104285714285714,20.003971205738125,184.0,196.0,64,196
food101,selection,3.25,500,196,134.056,0.6839591836734694,34.18182066537709,139.0,176.0,32,176
food101,merge,3.25,500,196,173.446,0.8849285714285714,22.64745204211723,181.0,196.0,58,196
food101,selection,3.5,500,196,120.652,0.6155714285714285,36.97094664733377,125.0,168.0,32,176
food101,merge,3.5,500,196,166.798,0.8510102040816326,25.655042311405374,172.0,193.0,49,196
food101,selection,3.75,500,196,104.854,0.534969387755102,38.338188324437034,107.0,156.10000000000002,32,176
food101,merge,3.75,500,196,158.128,0.8067755102040816,28.334142231590494,163.0,190.0,49,196
food101,selection,4.0,500,196,87.022,0.4439897959183674,37.5708066988187,84.0,140.10000000000002,32,175
food101,merge,4.0,500,196,146.944,0.7497142857142857,31.29391097322289,151.0,184.0,49,196
food101,selection,4.25,500,196,68.354,0.3487448979591837,33.51752801147483,61.5,120.0,32,164
food101,merge,4.25,500,196,133.132,0.6792448979591837,33.80003810648739,136.0,175.0,49,196
food101,selection,4.5,500,196,51.322,0.26184693877551024,25.471127105018343,38.0,89.0,32,147
food101,merge,4.5,500,196,116.206,0.5928877551020408,34.15475902418285,115.0,163.0,49,193
food101,selection,4.75,500,196,39.194,0.19996938775510206,15.402998539245534,32.0,59.10000000000002,32,124
food101,merge,4.75,500,196,97.57,0.49780612244897954,31.6800426136077,94.0,142.0,49,187
food101,selection,5.0,500,196,33.514,0.17098979591836735,6.3186868889034224,32.0,32.0,32,74
food101,merge,5.0,500,196,78.31,0.3995408163265306,25.725432940963305,73.0,118.0,49,166
food101,selection,5.25,500,196,32.036,0.16344897959183674,0.5125465832487816,32.0,32.0,32,40
food101,merge,5.25,500,196,62.104,0.31685714285714284,16.457010178036594,55.0,85.0,49,133
food101,selection,5.5,500,196,32.0,0.16326530612244897,0.0,32.0,32.0,32,32
food101,merge,5.5,500,196,52.15,0.26607142857142857,6.5366275708502775,49.0,58.30000000000007,49,88
food101,selection,5.75,500,196,32.0,0.16326530612244897,0.0,32.0,32.0,32,32
food101,merge,5.75,500,196,49.156,0.25079591836734694,0.789724002421099,49.0,49.0,49,55
food101,selection,6.0,500,196,32.0,0.16326530612244897,0.0,32.0,32.0,32,32
food101,merge,6.0,500,196,49.0,0.25,0.0,49.0,49.0,49,49
