dataset,method,threshold,samples,base_tokens,mean_tokens,token_ratio,std_tokens,p50_tokens,p90_tokens,min_tokens,max_tokens
oxford_pets,selection,0.0,500,196,176.0,0.8979591836734694,0.0,176.0,176.0,176,176
oxford_pets,merge,0.0,500,196,196.0,1.0,0.0,196.0,196.0,196,196
oxford_pets,selection,0.25,500,196,175.392,0.8948571428571428,4.692796181382694,176.0,176.0,114,176
oxford_pets,merge,0.25,500,196,195.238,0.9961122448979591,4.348948838512589,196.0,196.0,142,196
oxford_pets,selection,0.5,500,196,175.164,0.8936938775510204,5.319502232352196,176.0,176.0,110,176
oxford_pets,merge,0.5,500,196,194.95,0.994642857142857,4.9326970310368745,196.0,196.0,139,196
oxford_pets,selection,0.75,500,196,174.834,0.8920102040816327,6.254154139450035,176.0,176.0,107,176
oxford_pets,merge,0.75,500,196,194.554,0.9926224489795918,5.734377385558087,196.0,196.0,139,196
oxford_pets,selection,1.0,500,196,173.832,0.8868979591836734,8.804077237280465,176.0,176.0,106,176
oxford_pets,merge,1.0,500,196,193.912,0.9893469387755103,6.942640419897893,196.0,196.0,133,196
oxford_pets,selection,1.25,500,196,172.708,0.8811632653061224,11.002669494263653,176.0,176.0,103,176
oxford_pets,merge,1.25,500,196,193.054,0.984969387755102,8.21018172758679,196.0,196.0,133,196
oxford_pets,selection,1.5,500,196,171.082,0.8728673469387754,13.707489777490261,176.0,176.0,82,176
oxford_pets,merge,1.5,500,196,191.908,0.9791224489795918,9.73198520344128,196.0,196.0,130,196
oxford_pets,selection,1.75,500,196,169.104,0.8627755102040817,16.566145719508807,176.0,176.0,71,176
oxford_pets,merge,1.75,500,196,190.492,0.9718979591836734,11.507299248737732,196.0,196.0,130,196
oxford_pets,selection,2.0,500,196,166.478,0.8493775510204082,19.14819876646365,176.0,176.0,68,176
oxford_pets,merge,2.0,500,196,188.8,0.963265306122449,13.46060919869528,196.0,196.0,112,196
oxford_pets,selection,2.25,500,196,162.814,0.8306836734693878,21.559485244318797,176.0,176.0,61,176
oxford_pets,merge,2.25,500,196,186.82,0.9531632653061224,14.880846750101286,193.0,196.0,106,196
oxford_pets,selection,2.5,500,196,157.898,0.8056020408163265,24.373912201368086,170.0,176.0,56,176
oxford_pets,merge,2.5,500,196,184.276,0.9401836734693878,16.523311532498564,190.0,196.0,100,196
oxford_pets,selection,2.75,500,196,150.72,0.7689795918367347,27.431689703698535,159.0,176.0,52,176
oxford_pets,merge,2.75,500,196,180.496,0.9208979591836736,18.192910267464082,187.0,196.0,97,196
oxford_pets,selection,3.0,500,196,141.636,0.7226326530612245,30.896011134125388,146.5,176.0,39,176
oxford_pets,merge,3.0,500,196,175.888,0.8973877551020408,20.320518103631116,181.0,196.0,94,196
oxford_pets,selection,3.25,500,196,130.076,0.6636530612244897,33.82103227283283,131.0,176.0,32,176
oxford_pets,merge,3.25,500,196,170.326,0.8690102040816327,22.623786685698747,175.0,196.0,91,196
oxford_pets,selection,3.5,500,196,116.408,0.5939183673469388,35.75586016305579,115.0,169.10000000000002,32,176
oxford_pets,merge,3.5,500,196,162.76,0.8304081632653061,24.918715857764422,166.0,193.0,85,196
oxford_pets,selection,3.75,500,196,100.162,0.511030612244898,36.408402272003094,97.5,151.0,32,176
oxford_pets,merge,3.75,500,196,153.088,0.7810612244897959,26.92181747208015,154.0,187.0,70,196
oxford_pets,selection,4.0,500,196,81.858,0.41764285714285715,34.467692641080575,77.5,130.0,32,176
oxford_pets,merge,4.0,500,196,141.334,0.7210918367346939,28.878754197506513,142.0,178.0,67,196
oxford_pets,selection,4.25,500,196,63.55,0.324234693877551,29.597491447756177,55.0,104.0,32,162
oxford_pets,merge,4.25,500,196,127.81,0.6520918367346938,29.41547041949185,127.0,169.0,49,193
oxford_pets,selection,4.5,500,196,47.652,0.24312244897959184,21.359655802470225,37.0,75.10000000000002,32,151
oxford_pets,merge,4.5,500,196,111.232,0.5675102040816327,28.155677509163226,112.0,148.0,49,190
oxford_pets,selection,4.75,500,196,36.868,0.18810204081632653,12.160369073346416,32.0,49.0,32,139
oxford_pets,merge,4.75,500,196,93.694,0.47803061224489796,24.812665394914752,91.0,127.0,49,175
oxford_pets,selection,5.0,500,196,32.728,0.1669795918367347,5.2316360729699065,32.0,32.0,32,104
oxford_pets,merge,5.0,500,196,76.018,0.3878469387755102,19.36754181614177,73.0,100.30000000000007,49,166
oxford_pets,selection,5.25,500,196,32.046,0.1635,0.7796691606059586,32.0,32.0,32,48
oxford_pets,merge,5.25,500,196,61.726,0.31492857142857145,12.503716407532602,58.0,79.0,49,145
oxford_pets,selection,5.5,500,196,32.0,0.16326530612244897,0.0,32.0,32.0,32,32
oxford_pets,merge,5.5,500,196,52.438,0.26754081632653065,5.6926405120998105,49.0,58.0,49,103
oxford_pets,selection,5.75,500,196,32.0,0.16326530612244897,0.0,32.0,32.0,32,32
oxford_pets,merge,5.75,500,196,49.216,0.25110204081632653,1.1177405781307217,49.0,49.0,49,64
oxford_pets,selection,6.0,500,196,32.0,0.16326530612244897,0.0,32.0,32.0,32,32
oxford_pets,merge,6.0,500,196,49.0,0.25,0.0,49.0,49.0,49,49
